participant_id,test_type,trial_number,timestamp_ms,gsr_raw,gsr_derivative,gsr_threshold,target_value,current_state,instantaneous_score,cumulative_score
void2,Pre,1,18002,720.00,-1.00,5.00,Calmed,Calmed,100,1
void2,Pre,1,18005,720.00,-1.00,5.00,Calmed,Calmed,100,2
void2,Pre,1,18008,720.00,-1.00,5.00,Calmed,Calmed,100,3
void2,Pre,1,18011,720.00,-1.00,5.00,Calmed,Calmed,100,4
void2,Pre,1,18013,720.00,-1.00,5.00,Calmed,Calmed,100,5
void2,Pre,1,18016,720.00,-1.00,5.00,Calmed,Calmed,100,6
void2,Pre,1,18019,720.00,-1.00,5.00,Calmed,Calmed,100,7
void2,Pre,1,18022,720.00,-1.00,5.00,Calmed,Calmed,100,8
void2,Pre,1,18025,720.00,-1.00,5.00,Calmed,Calmed,100,9
void2,Pre,1,18027,720.00,-1.00,5.00,Calmed,Calmed,100,10
void2,Pre,1,18030,720.00,-1.00,5.00,Calmed,Calmed,100,11
void2,Pre,1,18032,720.00,-1.00,5.00,Calmed,Calmed,100,12
void2,Pre,1,18037,720.00,-1.00,5.00,Calmed,Calmed,100,13
void2,Pre,1,18040,720.00,-1.00,5.00,Calmed,Calmed,100,14
void2,Pre,1,18043,720.00,-1.00,5.00,Calmed,Calmed,100,15
void2,Pre,1,18045,720.00,-1.00,5.00,Calmed,Calmed,100,16
void2,Pre,1,18048,720.00,-1.00,5.00,Calmed,Calmed,100,17
void2,Pre,1,18051,720.00,-1.00,5.00,Calmed,Calmed,100,18
void2,Pre,1,18053,720.00,-1.00,5.00,Calmed,Calmed,100,19
void2,Pre,1,18058,720.00,-1.00,5.00,Calmed,Calmed,100,20
void2,Pre,1,18061,720.00,-1.00,5.00,Calmed,Calmed,100,21
void2,Pre,1,18063,720.00,-1.00,5.00,Calmed,Calmed,100,22
void2,Pre,1,18066,720.00,-1.00,5.00,Calmed,Calmed,100,23
void2,Pre,1,18069,720.00,-1.00,5.00,Calmed,Calmed,100,24
void2,Pre,1,18072,720.00,-1.00,5.00,Calmed,Calmed,100,25
void2,Pre,1,18075,720.00,-1.00,5.00,Calmed,Calmed,100,26
void2,Pre,1,18077,720.00,-1.00,5.00,Calmed,Calmed,100,27
void2,Pre,1,18080,720.00,-1.00,5.00,Calmed,Calmed,100,28
void2,Pre,1,18082,720.00,-1.00,5.00,Calmed,Calmed,100,29
void2,Pre,1,18085,720.00,-1.00,5.00,Calmed,Calmed,100,30
void2,Pre,1,18090,720.00,-1.00,5.00,Calmed,Calmed,100,31
void2,Pre,1,18093,720.00,-1.00,5.00,Calmed,Calmed,100,32
void2,Pre,1,18095,720.00,-1.00,5.00,Calmed,Calmed,100,33
void2,Pre,1,18098,720.00,-1.00,5.00,Calmed,Calmed,100,34
void2,Pre,1,18101,720.00,-1.00,5.00,Calmed,Calmed,100,35
void2,Pre,1,18104,720.00,-1.00,5.00,Calmed,Calmed,100,36
void2,Pre,1,18109,720.00,-1.00,5.00,Calmed,Calmed,100,37
void2,Pre,1,18111,720.00,-1.00,5.00,Calmed,Calmed,100,38
void2,Pre,1,18114,720.00,-1.00,5.00,Calmed,Calmed,100,39
void2,Pre,1,18116,720.00,-1.00,5.00,Calmed,Calmed,100,40
void2,Pre,1,18119,720.00,-1.00,5.00,Calmed,Calmed,100,41
void2,Pre,1,18122,720.00,-1.00,5.00,Calmed,Calmed,100,42
void2,Pre,1,18125,720.00,-1.00,5.00,Calmed,Calmed,100,43
void2,Pre,1,18127,720.00,-1.00,5.00,Calmed,Calmed,100,44
void2,Pre,1,18130,720.00,-1.00,5.00,Calmed,Calmed,100,45
void2,Pre,1,18132,720.00,-1.00,5.00,Calmed,Calmed,100,46
void2,Pre,1,18135,720.00,-1.00,5.00,Calmed,Calmed,100,47
void2,Pre,1,18143,720.00,-1.00,5.00,Calmed,Calmed,100,48
void2,Pre,1,18145,720.00,-1.00,5.00,Calmed,Calmed,100,49
void2,Pre,1,18148,720.00,-1.00,5.00,Calmed,Calmed,100,50
void2,Pre,1,18151,720.00,-1.00,5.00,Calmed,Calmed,100,51
void2,Pre,1,18153,720.00,-1.00,5.00,Calmed,Calmed,100,52
void2,Pre,1,18156,720.00,-1.00,5.00,Calmed,Calmed,100,53
void2,Pre,1,18158,720.00,-1.00,5.00,Calmed,Calmed,100,54
void2,Pre,1,18160,720.00,-1.00,5.00,Calmed,Calmed,100,55
void2,Pre,1,18164,720.00,-1.00,5.00,Calmed,Calmed,100,56
void2,Pre,1,18166,720.00,-1.00,5.00,Calmed,Calmed,100,57
void2,Pre,1,18169,720.00,-1.00,5.00,Calmed,Calmed,100,58
void2,Pre,1,18172,720.00,-1.00,5.00,Calmed,Calmed,100,59
void2,Pre,1,18175,720.00,-1.00,5.00,Calmed,Calmed,100,60
void2,Pre,1,18177,720.00,-1.00,5.00,Calmed,Calmed,100,61
void2,Pre,1,18180,720.00,-1.00,5.00,Calmed,Calmed,100,62
void2,Pre,1,18182,720.00,-1.00,5.00,Calmed,Calmed,100,63
void2,Pre,1,18188,720.00,-1.00,5.00,Calmed,Calmed,100,64
void2,Pre,1,18190,720.00,-1.00,5.00,Calmed,Calmed,100,65
void2,Pre,1,18193,720.00,-1.00,5.00,Calmed,Calmed,100,66
void2,Pre,1,18195,720.00,-1.00,5.00,Calmed,Calmed,100,67
void2,Pre,1,18198,720.00,-1.00,5.00,Calmed,Calmed,100,68
void2,Pre,1,18201,720.00,-1.00,5.00,Calmed,Calmed,100,69
void2,Pre,1,18204,720.00,-1.00,5.00,Calmed,Calmed,100,70
void2,Pre,1,18207,720.00,-1.00,5.00,Calmed,Calmed,100,71
void2,Pre,1,18211,720.00,-1.00,5.00,Calmed,Calmed,100,72
void2,Pre,1,18214,720.00,-1.00,5.00,Calmed,Calmed,100,73
void2,Pre,1,18216,720.00,-1.00,5.00,Calmed,Calmed,100,74
void2,Pre,1,18219,720.00,-1.00,5.00,Calmed,Calmed,100,75
void2,Pre,1,18222,720.00,-1.00,5.00,Calmed,Calmed,100,76
void2,Pre,1,18225,720.00,-1.00,5.00,Calmed,Calmed,100,77
void2,Pre,1,18227,720.00,-1.00,5.00,Calmed,Calmed,100,78
void2,Pre,1,18230,720.00,-1.00,5.00,Calmed,Calmed,100,79
