participant_id,test_type,trial_number,timestamp_ms,gsr_raw,gsr_derivative,gsr_threshold,target_value,current_state,instantaneous_score,cumulative_score
void,Pre,1,18011,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18016,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18022,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18025,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18027,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18029,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18039,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18042,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18044,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18047,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18056,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18058,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18061,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18064,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18073,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18075,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18078,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18080,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18089,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18092,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18094,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18097,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18106,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18108,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18111,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18114,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18123,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18125,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18127,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18130,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18139,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18142,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18145,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18148,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18156,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18159,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18161,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18164,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18173,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18175,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18178,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18180,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18189,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18192,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18194,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18197,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18206,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18208,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18211,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18213,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18223,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18225,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18228,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18230,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18239,768.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18242,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18244,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18247,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18256,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18259,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18261,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18263,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18273,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18275,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18278,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18280,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18289,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18292,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18294,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18297,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18306,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18309,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18311,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18313,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18323,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18326,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18329,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18332,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18341,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18344,767.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18347,767.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18356,767.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18360,767.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18363,767.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18373,767.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18376,767.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18379,767.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18382,767.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18390,767.00,-7.00,5.00,Calmed,Excited,0,0
void,Pre,1,18393,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18396,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18406,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18409,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18411,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18414,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18423,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18426,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18428,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18431,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18440,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18443,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18446,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18459,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18463,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18473,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18476,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18479,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18490,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18492,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18494,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18497,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18506,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18509,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18511,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18514,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18523,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18525,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18528,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18531,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18539,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18542,768.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18544,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18546,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18556,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18559,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18561,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18564,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18573,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18575,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18578,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18580,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18589,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18592,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18594,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18596,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18606,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18609,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18611,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18613,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18623,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18625,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18628,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18630,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18639,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18642,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18644,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18647,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18656,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18658,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18661,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18663,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18673,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18675,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18678,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18680,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18689,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18692,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18694,767.00,-6.00,5.00,Calmed,Excited,0,0
void,Pre,1,18696,768.00,-5.00,5.00,Calmed,Excited,0,0
void,Pre,1,18706,768.00,-5.00,5.00,Calmed,Excited,0,0
void,Pre,1,18708,768.00,-5.00,5.00,Calmed,Excited,0,0
void,Pre,1,18711,768.00,-5.00,5.00,Calmed,Excited,0,0
void,Pre,1,18713,768.00,-5.00,5.00,Calmed,Excited,0,0
void,Pre,1,18723,768.00,-5.00,5.00,Calmed,Excited,0,0
void,Pre,1,18725,768.00,-5.00,5.00,Calmed,Excited,0,0
void,Pre,1,18728,768.00,-5.00,5.00,Calmed,Excited,0,0
