trial_number,timestamp_ms,gsr_raw,gsr_derivative,gsr_threshold,target_value,current_state,instantaneous_score,cumulative_score
1,18004,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18007,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18010,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18013,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18015,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18018,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18021,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18024,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18026,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18029,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18032,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18035,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18038,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18041,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18046,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18049,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18052,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18055,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18058,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18061,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18064,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18066,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18069,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18072,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18075,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18077,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18080,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18083,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18085,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18088,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18091,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18094,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18097,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18099,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18102,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18105,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18107,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18110,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18113,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18116,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18119,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18122,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18125,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18127,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18130,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18133,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18135,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18138,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18142,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18145,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18148,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18151,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18154,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18157,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18160,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18163,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18166,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18168,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18171,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18174,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18177,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18179,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18182,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18185,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18187,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18190,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18193,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18195,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18198,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18200,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18203,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18206,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18208,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18211,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18214,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18216,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18219,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18222,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18224,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18227,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18230,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18232,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18235,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18237,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18240,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18242,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18245,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18248,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18251,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18255,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18258,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18261,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18265,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18268,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18271,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18275,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18278,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18281,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18284,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18287,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18291,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18294,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18297,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18300,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18302,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18305,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18308,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18311,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18314,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18317,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18319,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18322,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18325,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18328,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18330,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18333,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18336,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18339,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18342,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18344,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18347,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18349,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18352,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18355,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18358,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18360,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18363,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18366,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18368,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18371,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18374,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18376,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18380,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18382,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18385,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18388,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18390,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18393,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18395,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18398,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18400,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18403,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18406,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18408,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18410,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18413,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18416,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18418,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18421,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18424,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18426,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18429,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18432,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18434,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18437,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18440,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18442,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18445,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18448,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18451,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18454,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18458,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18461,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18464,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18467,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18470,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18472,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18475,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18478,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18481,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18483,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18486,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18489,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18492,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18494,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18497,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18500,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18503,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18506,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18509,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18511,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18514,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18516,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18519,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18522,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18524,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18527,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18530,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18532,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18535,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18538,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18540,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18543,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18546,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18548,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18551,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18554,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18558,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18560,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18563,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18566,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18569,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18571,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18574,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18577,535.00,-7.00,5.00,Calmed,Excited,0,0
1,18579,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18582,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18585,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18587,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18590,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18593,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18595,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18598,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18601,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18603,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18606,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18608,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18611,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18613,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18616,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18619,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18621,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18624,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18627,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18630,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18633,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18635,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18638,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18640,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18643,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18646,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18648,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18651,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18654,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18657,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18659,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18662,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18665,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18667,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18670,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18672,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18675,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18678,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18680,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18683,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18686,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18688,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18691,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18694,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18696,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18699,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18701,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18704,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18706,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18709,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18712,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18714,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18717,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18720,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18722,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18725,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18728,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18730,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18733,535.00,-6.00,5.00,Calmed,Excited,0,0
1,18736,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18739,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18741,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18744,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18746,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18749,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18751,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18754,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18757,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18760,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18763,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18766,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18768,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18771,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18774,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18776,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18779,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18782,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18784,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18787,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18790,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18792,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18795,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18798,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18800,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18803,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18806,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18808,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18811,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18814,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18816,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18819,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18821,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18824,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18827,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18829,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18832,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18835,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18838,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18840,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18843,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18845,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18848,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18850,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18853,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18855,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18858,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18861,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18863,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18866,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18868,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18871,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18873,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18876,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18878,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18881,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18883,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18886,535.00,-5.00,5.00,Calmed,Excited,0,0
1,18889,535.00,-4.00,5.00,Calmed,Excited,0,0
1,18892,535.00,-4.00,5.00,Calmed,Excited,0,0
