participant_id,timestamp_ms,event_type,current_it_index,player0_pos_x,player0_pos_z,player1_pos_x,player1_pos_z,gsr_raw,gsr_derivative,gsr_threshold,is_excited
izumi,0,GameStart,0,-1.17,-2.43,1.99,2.80,0.00,0.00,0.00,False
izumi,266,Tick,0,-1.17,-2.43,1.41,3.66,614.00,8.00,5.00,True
izumi,652,Tick,0,-1.14,-2.42,0.15,5.11,614.00,8.00,5.00,True
izumi,1023,Tick,0,-1.05,-1.33,-1.32,6.25,615.00,8.00,5.00,True
izumi,1408,Tick,0,-1.13,-0.19,-2.20,7.07,615.00,1.00,5.00,True
izumi,1770,Tick,0,-2.54,1.63,-3.55,8.28,613.00,-2.00,5.00,False
izumi,2144,Tick,0,-3.75,3.74,-4.95,9.52,615.00,0.00,5.00,False
izumi,2512,Tick,0,-4.45,6.01,-6.28,10.35,615.00,0.00,5.00,False
izumi,2891,Tick,0,-4.78,8.45,-7.60,10.79,615.00,1.00,5.00,False
izumi,3270,Tick,0,-6.52,9.99,-9.04,11.28,615.00,1.00,5.00,False
izumi,3644,Tick,0,-8.21,11.34,-10.48,11.77,616.00,1.00,5.00,False
izumi,4033,Tick,0,-8.15,13.69,-10.90,11.81,616.00,1.00,5.00,False
izumi,4404,Tick,0,-9.27,15.33,-12.23,11.93,616.00,2.00,5.00,False
izumi,4785,Tick,0,-11.61,14.54,-12.55,11.96,616.00,1.00,5.00,False
izumi,4942,ItChanged,1,-12.17,13.75,-12.88,11.97,616.00,1.00,5.00,False
izumi,5162,Tick,1,-12.52,12.63,-13.07,11.97,617.00,2.00,5.00,False
izumi,5548,Tick,1,-12.54,10.86,-13.07,11.97,617.00,2.00,5.00,False
izumi,5926,Tick,1,-12.51,8.41,-13.07,11.97,618.00,2.00,5.00,False
izumi,5962,ItChanged,0,-12.48,8.15,-13.07,11.97,618.00,2.00,5.00,False
izumi,6299,Tick,0,-12.29,6.00,-14.34,11.99,619.00,3.00,5.00,False
izumi,6663,Tick,0,-12.08,3.64,-13.38,12.21,620.00,4.00,5.00,False
izumi,7027,Tick,0,-11.59,1.48,-12.04,12.45,620.00,4.00,5.00,False
izumi,7404,Tick,0,-10.82,3.47,-10.46,12.73,620.00,4.00,5.00,False
izumi,7788,Tick,0,-12.03,5.32,-10.25,12.92,620.00,3.00,5.00,False
izumi,8152,Tick,0,-12.39,7.66,-10.21,14.16,619.00,1.00,5.00,False
izumi,8523,Tick,0,-12.58,10.02,-10.20,14.31,617.00,-1.00,5.00,False
izumi,8903,Tick,0,-12.73,12.46,-9.56,15.06,615.00,-4.00,5.00,False
