trial_number,timestamp_ms,gsr_raw,gsr_derivative,gsr_threshold,target_value,current_state,instantaneous_score,cumulative_score
1,18005,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18011,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18015,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18018,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18021,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18024,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18027,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18030,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18032,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18035,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18038,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18040,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18043,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18046,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18048,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18051,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18054,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18056,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18059,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18062,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18064,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18067,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18070,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18072,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18075,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18077,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18080,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18083,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18085,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18088,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18091,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18093,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18096,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18099,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18101,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18104,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18107,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18109,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18112,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18114,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18117,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18120,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18123,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18126,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18128,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18131,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18133,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18136,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18140,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18143,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18146,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18148,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18151,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18153,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18156,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18159,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18161,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18164,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18166,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18169,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18172,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18175,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18178,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18180,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18183,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18186,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18189,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18191,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18194,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18197,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18200,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18202,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18205,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18208,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18210,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18213,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18216,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18219,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18221,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18224,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18226,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18229,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18232,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18234,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18237,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18239,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18242,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18245,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18247,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18250,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18253,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18255,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18258,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18261,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18263,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18266,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18268,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18271,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18273,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18276,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18279,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18282,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18285,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18287,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18290,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18293,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18295,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18298,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18300,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18303,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18306,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18308,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18311,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18314,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18316,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18319,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18322,568.00,-7.00,5.00,Calmed,Excited,0,0
1,18324,568.00,-7.00,5.00,Calmed,Excited,0,0
