trial_number,timestamp_ms,gsr_raw,gsr_derivative,gsr_threshold,target_value,current_state,instantaneous_score,cumulative_score
1,18006,386.00,0.00,5.00,Calmed,Calmed,100,1
1,18011,386.00,0.00,5.00,Calmed,Calmed,100,2
1,18015,386.00,0.00,5.00,Calmed,Calmed,100,3
1,18019,386.00,0.00,5.00,Calmed,Calmed,100,4
1,18022,386.00,0.00,5.00,Calmed,Calmed,100,5
1,18025,386.00,0.00,5.00,Calmed,Calmed,100,6
1,18029,386.00,0.00,5.00,Calmed,Calmed,100,7
1,18032,386.00,0.00,5.00,Calmed,Calmed,100,8
1,18035,386.00,0.00,5.00,Calmed,Calmed,100,9
1,18038,386.00,0.00,5.00,Calmed,Calmed,100,10
1,18041,386.00,0.00,5.00,Calmed,Calmed,100,11
1,18044,386.00,0.00,5.00,Calmed,Calmed,100,12
1,18047,386.00,0.00,5.00,Calmed,Calmed,100,13
1,18050,386.00,0.00,5.00,Calmed,Calmed,100,14
1,18053,386.00,0.00,5.00,Calmed,Calmed,100,15
1,18056,386.00,0.00,5.00,Calmed,Calmed,100,16
1,18059,386.00,0.00,5.00,Calmed,Calmed,100,17
1,18063,386.00,0.00,5.00,Calmed,Calmed,100,18
1,18066,386.00,0.00,5.00,Calmed,Calmed,100,19
1,18068,386.00,0.00,5.00,Calmed,Calmed,100,20
1,18072,386.00,0.00,5.00,Calmed,Calmed,100,21
1,18074,386.00,0.00,5.00,Calmed,Calmed,100,22
1,18077,386.00,0.00,5.00,Calmed,Calmed,100,23
1,18080,386.00,0.00,5.00,Calmed,Calmed,100,24
1,18083,386.00,0.00,5.00,Calmed,Calmed,100,25
1,18086,386.00,0.00,5.00,Calmed,Calmed,100,26
1,18089,386.00,0.00,5.00,Calmed,Calmed,100,27
1,18092,386.00,0.00,5.00,Calmed,Calmed,100,28
1,18095,386.00,0.00,5.00,Calmed,Calmed,100,29
1,18098,386.00,0.00,5.00,Calmed,Calmed,100,30
1,18101,386.00,0.00,5.00,Calmed,Calmed,100,31
1,18104,386.00,0.00,5.00,Calmed,Calmed,100,32
1,18107,386.00,0.00,5.00,Calmed,Calmed,100,33
1,18110,386.00,0.00,5.00,Calmed,Calmed,100,34
1,18113,386.00,0.00,5.00,Calmed,Calmed,100,35
1,18116,386.00,0.00,5.00,Calmed,Calmed,100,36
1,18119,386.00,0.00,5.00,Calmed,Calmed,100,37
1,18122,386.00,0.00,5.00,Calmed,Calmed,100,38
1,18125,386.00,0.00,5.00,Calmed,Calmed,100,39
1,18127,386.00,0.00,5.00,Calmed,Calmed,100,40
1,18130,386.00,0.00,5.00,Calmed,Calmed,100,41
1,18133,386.00,0.00,5.00,Calmed,Calmed,100,42
1,18137,386.00,0.00,5.00,Calmed,Calmed,100,43
1,18140,386.00,0.00,5.00,Calmed,Calmed,100,44
1,18142,386.00,0.00,5.00,Calmed,Calmed,100,45
1,18145,386.00,0.00,5.00,Calmed,Calmed,100,46
1,18148,386.00,0.00,5.00,Calmed,Calmed,100,47
1,18151,386.00,0.00,5.00,Calmed,Calmed,100,48
1,18154,386.00,0.00,5.00,Calmed,Calmed,100,49
1,18157,386.00,0.00,5.00,Calmed,Calmed,100,50
1,18160,386.00,0.00,5.00,Calmed,Calmed,100,51
1,18163,386.00,0.00,5.00,Calmed,Calmed,100,52
1,18166,386.00,0.00,5.00,Calmed,Calmed,100,53
1,18169,386.00,0.00,5.00,Calmed,Calmed,100,54
1,18172,386.00,0.00,5.00,Calmed,Calmed,100,55
1,18175,386.00,0.00,5.00,Calmed,Calmed,100,56
1,18178,386.00,0.00,5.00,Calmed,Calmed,100,57
1,18180,386.00,0.00,5.00,Calmed,Calmed,100,58
1,18184,386.00,0.00,5.00,Calmed,Calmed,100,59
1,18187,386.00,0.00,5.00,Calmed,Calmed,100,60
1,18189,386.00,0.00,5.00,Calmed,Calmed,100,61
1,18192,386.00,0.00,5.00,Calmed,Calmed,100,62
1,18195,386.00,0.00,5.00,Calmed,Calmed,100,63
1,18198,386.00,0.00,5.00,Calmed,Calmed,100,64
1,18201,386.00,0.00,5.00,Calmed,Calmed,100,65
1,18205,386.00,0.00,5.00,Calmed,Calmed,100,66
1,18209,386.00,0.00,5.00,Calmed,Calmed,100,67
1,18212,386.00,0.00,5.00,Calmed,Calmed,100,68
1,18215,386.00,0.00,5.00,Calmed,Calmed,100,69
1,18219,386.00,0.00,5.00,Calmed,Calmed,100,70
1,18222,386.00,0.00,5.00,Calmed,Calmed,100,71
1,18225,386.00,0.00,5.00,Calmed,Calmed,100,72
1,18228,386.00,0.00,5.00,Calmed,Calmed,100,73
1,18231,386.00,0.00,5.00,Calmed,Calmed,100,74
1,18234,386.00,0.00,5.00,Calmed,Calmed,100,75
1,18237,386.00,0.00,5.00,Calmed,Calmed,100,76
1,18240,386.00,0.00,5.00,Calmed,Calmed,100,77
1,18243,386.00,0.00,5.00,Calmed,Calmed,100,78
1,18247,386.00,0.00,5.00,Calmed,Calmed,100,79
