trial_number,timestamp_ms,gsr_raw,gsr_derivative,gsr_threshold,target_value,current_state,instantaneous_score,cumulative_score
1,18003,551.00,-9.00,5.00,Calmed,Excited,0,0
1,18008,551.00,-9.00,5.00,Calmed,Excited,0,0
1,18011,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18014,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18017,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18020,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18023,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18026,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18029,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18033,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18035,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18038,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18041,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18044,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18046,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18049,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18051,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18054,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18056,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18059,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18061,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18063,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18065,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18067,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18070,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18072,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18075,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18077,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18079,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18082,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18084,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18086,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18089,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18092,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18094,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18097,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18099,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18101,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18103,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18109,551.00,-8.00,5.00,Calmed,Excited,0,0
1,18112,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18114,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18116,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18118,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18120,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18123,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18126,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18128,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18130,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18133,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18135,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18140,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18143,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18145,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18147,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18150,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18152,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18155,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18158,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18160,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18162,552.00,-7.00,5.00,Calmed,Excited,0,0
1,18165,552.00,-7.00,5.00,Calmed,Excited,0,0
