trial_number,timestamp_ms,gsr_raw,gsr_derivative,gsr_threshold,target_value,current_state,instantaneous_score,cumulative_score
1,18009,784.00,0.00,5.00,Calmed,Calmed,100,1
1,18012,784.00,0.00,5.00,Calmed,Calmed,100,2
1,18015,784.00,0.00,5.00,Calmed,Calmed,100,3
1,18017,784.00,0.00,5.00,Calmed,Calmed,100,4
1,18020,784.00,0.00,5.00,Calmed,Calmed,100,5
1,18022,784.00,0.00,5.00,Calmed,Calmed,100,6
1,18024,784.00,0.00,5.00,Calmed,Calmed,100,7
1,18027,784.00,0.00,5.00,Calmed,Calmed,100,8
1,18029,784.00,0.00,5.00,Calmed,Calmed,100,9
1,18033,784.00,0.00,5.00,Calmed,Calmed,100,10
1,18035,784.00,0.00,5.00,Calmed,Calmed,100,11
1,18037,784.00,0.00,5.00,Calmed,Calmed,100,12
1,18040,784.00,0.00,5.00,Calmed,Calmed,100,13
1,18043,784.00,0.00,5.00,Calmed,Calmed,100,14
1,18045,784.00,0.00,5.00,Calmed,Calmed,100,15
1,18047,784.00,0.00,5.00,Calmed,Calmed,100,16
1,18050,784.00,0.00,5.00,Calmed,Calmed,100,17
1,18052,784.00,0.00,5.00,Calmed,Calmed,100,18
1,18056,784.00,0.00,5.00,Calmed,Calmed,100,19
1,18060,784.00,0.00,5.00,Calmed,Calmed,100,20
1,18062,784.00,0.00,5.00,Calmed,Calmed,100,21
1,18064,784.00,0.00,5.00,Calmed,Calmed,100,22
1,18067,784.00,0.00,5.00,Calmed,Calmed,100,23
1,18069,784.00,0.00,5.00,Calmed,Calmed,100,24
1,18071,784.00,0.00,5.00,Calmed,Calmed,100,25
1,18074,784.00,0.00,5.00,Calmed,Calmed,100,26
1,18079,784.00,0.00,5.00,Calmed,Calmed,100,27
1,18081,784.00,0.00,5.00,Calmed,Calmed,100,28
1,18083,784.00,0.00,5.00,Calmed,Calmed,100,29
1,18086,784.00,0.00,5.00,Calmed,Calmed,100,30
1,18088,784.00,0.00,5.00,Calmed,Calmed,100,31
1,18091,784.00,0.00,5.00,Calmed,Calmed,100,32
1,18094,784.00,0.00,5.00,Calmed,Calmed,100,33
1,18096,784.00,0.00,5.00,Calmed,Calmed,100,34
1,18098,784.00,0.00,5.00,Calmed,Calmed,100,35
1,18101,784.00,0.00,5.00,Calmed,Calmed,100,36
1,18103,784.00,0.00,5.00,Calmed,Calmed,100,37
1,18105,784.00,0.00,5.00,Calmed,Calmed,100,38
1,18108,784.00,0.00,5.00,Calmed,Calmed,100,39
1,18113,784.00,0.00,5.00,Calmed,Calmed,100,40
1,18115,784.00,0.00,5.00,Calmed,Calmed,100,41
1,18117,784.00,0.00,5.00,Calmed,Calmed,100,42
1,18120,784.00,0.00,5.00,Calmed,Calmed,100,43
1,18122,784.00,0.00,5.00,Calmed,Calmed,100,44
1,18126,784.00,0.00,5.00,Calmed,Calmed,100,45
1,18128,784.00,0.00,5.00,Calmed,Calmed,100,46
1,18132,784.00,0.00,5.00,Calmed,Calmed,100,47
1,18134,784.00,0.00,5.00,Calmed,Calmed,100,48
