trial_number,timestamp_ms,gsr_raw,gsr_derivative,gsr_threshold,target_value,current_state,instantaneous_score,cumulative_score
1,18002,720,-1,5,Calmed,Calmed,100,1
1,18005,720,-1,5,Calmed,Calmed,100,2
1,18008,720,-1,5,Calmed,Calmed,100,3
1,18011,720,-1,5,Calmed,Calmed,100,4
1,18013,720,-1,5,Calmed,Calmed,100,5
1,18016,720,-1,5,Calmed,Calmed,100,6
1,18019,720,-1,5,Calmed,Calmed,100,7
1,18022,720,-1,5,Calmed,Calmed,100,8
1,18025,720,-1,5,Calmed,Calmed,100,9
1,18027,720,-1,5,Calmed,Calmed,100,10
1,18030,720,-1,5,Calmed,Calmed,100,11
1,18032,720,-1,5,Calmed,Calmed,100,12
1,18037,720,-1,5,Calmed,Calmed,100,13
1,18040,720,-1,5,Calmed,Calmed,100,14
1,18043,720,-1,5,Calmed,Calmed,100,15
1,18045,720,-1,5,Calmed,Calmed,100,16
1,18048,720,-1,5,Calmed,Calmed,100,17
1,18051,720,-1,5,Calmed,Calmed,100,18
1,18053,720,-1,5,Calmed,Calmed,100,19
1,18058,720,-1,5,Calmed,Calmed,100,20
1,18061,720,-1,5,Calmed,Calmed,100,21
1,18063,720,-1,5,Calmed,Calmed,100,22
1,18066,720,-1,5,Calmed,Calmed,100,23
1,18069,720,-1,5,Calmed,Calmed,100,24
1,18072,720,-1,5,Calmed,Calmed,100,25
1,18075,720,-1,5,Calmed,Calmed,100,26
1,18077,720,-1,5,Calmed,Calmed,100,27
1,18080,720,-1,5,Calmed,Calmed,100,28
1,18082,720,-1,5,Calmed,Calmed,100,29
1,18085,720,-1,5,Calmed,Calmed,100,30
1,18090,720,-1,5,Calmed,Calmed,100,31
1,18093,720,-1,5,Calmed,Calmed,100,32
1,18095,720,-1,5,Calmed,Calmed,100,33
1,18098,720,-1,5,Calmed,Calmed,100,34
1,18101,720,-1,5,Calmed,Calmed,100,35
1,18104,720,-1,5,Calmed,Calmed,100,36
1,18109,720,-1,5,Calmed,Calmed,100,37
1,18111,720,-1,5,Calmed,Calmed,100,38
1,18114,720,-1,5,Calmed,Calmed,100,39
1,18116,720,-1,5,Calmed,Calmed,100,40
1,18119,720,-1,5,Calmed,Calmed,100,41
1,18122,720,-1,5,Calmed,Calmed,100,42
1,18125,720,-1,5,Calmed,Calmed,100,43
1,18127,720,-1,5,Calmed,Calmed,100,44
1,18130,720,-1,5,Calmed,Calmed,100,45
1,18132,720,-1,5,Calmed,Calmed,100,46
1,18135,720,-1,5,Calmed,Calmed,100,47
1,18143,720,-1,5,Calmed,Calmed,100,48
1,18145,720,-1,5,Calmed,Calmed,100,49
1,18148,720,-1,5,Calmed,Calmed,100,50
1,18151,720,-1,5,Calmed,Calmed,100,51
1,18153,720,-1,5,Calmed,Calmed,100,52
1,18156,720,-1,5,Calmed,Calmed,100,53
1,18158,720,-1,5,Calmed,Calmed,100,54
1,18160,720,-1,5,Calmed,Calmed,100,55
1,18164,720,-1,5,Calmed,Calmed,100,56
1,18166,720,-1,5,Calmed,Calmed,100,57
1,18169,720,-1,5,Calmed,Calmed,100,58
1,18172,720,-1,5,Calmed,Calmed,100,59
1,18175,720,-1,5,Calmed,Calmed,100,60
1,18177,720,-1,5,Calmed,Calmed,100,61
1,18180,720,-1,5,Calmed,Calmed,100,62
1,18182,720,-1,5,Calmed,Calmed,100,63
1,18188,720,-1,5,Calmed,Calmed,100,64
1,18190,720,-1,5,Calmed,Calmed,100,65
1,18193,720,-1,5,Calmed,Calmed,100,66
1,18195,720,-1,5,Calmed,Calmed,100,67
1,18198,720,-1,5,Calmed,Calmed,100,68
1,18201,720,-1,5,Calmed,Calmed,100,69
1,18204,720,-1,5,Calmed,Calmed,100,70
