trial_number,timestamp_ms,gsr_raw,gsr_derivative,gsr_threshold,target_value,current_state,instantaneous_score,cumulative_score
1,18011,768,-7,5,Calmed,Excited,0,0
1,18016,768,-7,5,Calmed,Excited,0,0
1,18022,768,-7,5,Calmed,Excited,0,0
1,18025,768,-7,5,Calmed,Excited,0,0
1,18027,768,-7,5,Calmed,Excited,0,0
1,18029,768,-7,5,Calmed,Excited,0,0
1,18039,768,-7,5,Calmed,Excited,0,0
1,18042,768,-7,5,Calmed,Excited,0,0
1,18044,768,-7,5,Calmed,Excited,0,0
1,18047,768,-7,5,Calmed,Excited,0,0
1,18056,768,-7,5,Calmed,Excited,0,0
1,18058,768,-7,5,Calmed,Excited,0,0
1,18061,768,-7,5,Calmed,Excited,0,0
1,18064,768,-7,5,Calmed,Excited,0,0
1,18073,768,-7,5,Calmed,Excited,0,0
1,18075,768,-7,5,Calmed,Excited,0,0
1,18078,768,-7,5,Calmed,Excited,0,0
1,18080,768,-7,5,Calmed,Excited,0,0
1,18089,768,-7,5,Calmed,Excited,0,0
1,18092,768,-7,5,Calmed,Excited,0,0
1,18094,768,-7,5,Calmed,Excited,0,0
1,18097,768,-7,5,Calmed,Excited,0,0
1,18106,768,-7,5,Calmed,Excited,0,0
1,18108,768,-7,5,Calmed,Excited,0,0
1,18111,768,-7,5,Calmed,Excited,0,0
1,18114,768,-7,5,Calmed,Excited,0,0
1,18123,768,-7,5,Calmed,Excited,0,0
1,18125,768,-7,5,Calmed,Excited,0,0
1,18127,768,-7,5,Calmed,Excited,0,0
1,18130,768,-7,5,Calmed,Excited,0,0
1,18139,768,-7,5,Calmed,Excited,0,0
1,18142,768,-7,5,Calmed,Excited,0,0
1,18145,768,-7,5,Calmed,Excited,0,0
1,18148,768,-7,5,Calmed,Excited,0,0
1,18156,768,-7,5,Calmed,Excited,0,0
1,18159,768,-7,5,Calmed,Excited,0,0
1,18161,768,-7,5,Calmed,Excited,0,0
1,18164,768,-7,5,Calmed,Excited,0,0
1,18173,768,-7,5,Calmed,Excited,0,0
1,18175,768,-7,5,Calmed,Excited,0,0
1,18178,768,-7,5,Calmed,Excited,0,0
1,18180,768,-7,5,Calmed,Excited,0,0
1,18189,768,-7,5,Calmed,Excited,0,0
1,18192,768,-7,5,Calmed,Excited,0,0
1,18194,768,-7,5,Calmed,Excited,0,0
1,18197,768,-7,5,Calmed,Excited,0,0
1,18206,768,-7,5,Calmed,Excited,0,0
1,18208,768,-7,5,Calmed,Excited,0,0
1,18211,768,-7,5,Calmed,Excited,0,0
1,18213,768,-7,5,Calmed,Excited,0,0
1,18223,768,-7,5,Calmed,Excited,0,0
1,18225,768,-7,5,Calmed,Excited,0,0
1,18228,768,-7,5,Calmed,Excited,0,0
1,18230,768,-7,5,Calmed,Excited,0,0
1,18239,768,-7,5,Calmed,Excited,0,0
1,18242,768,-6,5,Calmed,Excited,0,0
1,18244,768,-6,5,Calmed,Excited,0,0
1,18247,768,-6,5,Calmed,Excited,0,0
1,18256,768,-6,5,Calmed,Excited,0,0
1,18259,768,-6,5,Calmed,Excited,0,0
1,18261,768,-6,5,Calmed,Excited,0,0
1,18263,768,-6,5,Calmed,Excited,0,0
1,18273,768,-6,5,Calmed,Excited,0,0
1,18275,768,-6,5,Calmed,Excited,0,0
1,18278,768,-6,5,Calmed,Excited,0,0
1,18280,768,-6,5,Calmed,Excited,0,0
1,18289,768,-6,5,Calmed,Excited,0,0
1,18292,768,-6,5,Calmed,Excited,0,0
1,18294,768,-6,5,Calmed,Excited,0,0
1,18297,768,-6,5,Calmed,Excited,0,0
1,18306,768,-6,5,Calmed,Excited,0,0
1,18309,768,-6,5,Calmed,Excited,0,0
1,18311,768,-6,5,Calmed,Excited,0,0
1,18313,768,-6,5,Calmed,Excited,0,0
1,18323,768,-6,5,Calmed,Excited,0,0
1,18326,768,-6,5,Calmed,Excited,0,0
1,18329,768,-6,5,Calmed,Excited,0,0
1,18332,768,-6,5,Calmed,Excited,0,0
1,18341,768,-6,5,Calmed,Excited,0,0
1,18344,767,-7,5,Calmed,Excited,0,0
1,18347,767,-7,5,Calmed,Excited,0,0
1,18356,767,-7,5,Calmed,Excited,0,0
1,18360,767,-7,5,Calmed,Excited,0,0
1,18363,767,-7,5,Calmed,Excited,0,0
1,18373,767,-7,5,Calmed,Excited,0,0
1,18376,767,-7,5,Calmed,Excited,0,0
1,18379,767,-7,5,Calmed,Excited,0,0
1,18382,767,-7,5,Calmed,Excited,0,0
1,18390,767,-7,5,Calmed,Excited,0,0
1,18393,768,-6,5,Calmed,Excited,0,0
1,18396,768,-6,5,Calmed,Excited,0,0
1,18406,768,-6,5,Calmed,Excited,0,0
1,18409,768,-6,5,Calmed,Excited,0,0
1,18411,768,-6,5,Calmed,Excited,0,0
1,18414,768,-6,5,Calmed,Excited,0,0
1,18423,768,-6,5,Calmed,Excited,0,0
1,18426,768,-6,5,Calmed,Excited,0,0
1,18428,768,-6,5,Calmed,Excited,0,0
1,18431,768,-6,5,Calmed,Excited,0,0
1,18440,768,-6,5,Calmed,Excited,0,0
1,18443,768,-6,5,Calmed,Excited,0,0
1,18446,768,-6,5,Calmed,Excited,0,0
1,18459,768,-6,5,Calmed,Excited,0,0
1,18463,768,-6,5,Calmed,Excited,0,0
1,18473,768,-6,5,Calmed,Excited,0,0
1,18476,768,-6,5,Calmed,Excited,0,0
1,18479,768,-6,5,Calmed,Excited,0,0
1,18490,768,-6,5,Calmed,Excited,0,0
1,18492,768,-6,5,Calmed,Excited,0,0
1,18494,768,-6,5,Calmed,Excited,0,0
1,18497,768,-6,5,Calmed,Excited,0,0
1,18506,768,-6,5,Calmed,Excited,0,0
1,18509,768,-6,5,Calmed,Excited,0,0
1,18511,768,-6,5,Calmed,Excited,0,0
1,18514,768,-6,5,Calmed,Excited,0,0
1,18523,768,-6,5,Calmed,Excited,0,0
1,18525,768,-6,5,Calmed,Excited,0,0
1,18528,768,-6,5,Calmed,Excited,0,0
1,18531,768,-6,5,Calmed,Excited,0,0
1,18539,768,-6,5,Calmed,Excited,0,0
1,18542,768,-6,5,Calmed,Excited,0,0
1,18544,767,-6,5,Calmed,Excited,0,0
1,18546,767,-6,5,Calmed,Excited,0,0
1,18556,767,-6,5,Calmed,Excited,0,0
1,18559,767,-6,5,Calmed,Excited,0,0
1,18561,767,-6,5,Calmed,Excited,0,0
